title,rating,actors,studio,category,aspect,format
Lord Of The Rings - Return Of the King,PG-13,Elijah Wood,New Line,Sci-Fi & Fantasy,Wide,DVD & BLU
"Monsters, Inc.",G,"Billy Crystal, John Goodman",,Animated,Both,DVD
Star Trek: Nemesis,PG-13,Patrick Stewart,Paramount,Sci-Fi & Fantasy,Wide,DVD
"Magnificent Seven, The",NR,"Yul Brenner, Charles Bronson, Eli Wallach",,Classic,Wide,DVD
Titanic,PG-13,"Leonardo DiCaprio, Kate Winslet",,Drama,Wide,DVD
Chicken Run,G,Mel Gibson,Dreamworks,Animated,Wide,DVD
Risky Business,R,"Tom Cruise, Rebecca DeMornay",,Drama,Full,DVD
"Maltese Falcon, The",NR,"Humphrey Bogart, Mary Astor",,Classic,Full,DVD
"Fugitive, The",PG-13,"Harrison Ford, Tommy Lee Jones",,Drama,Wide,DVD
Witness,R,Harrison Ford,,Drama,Wide,DVD
Mission Impossible,PG-13,Tom Cruise,,Action & Suspense,Full,DVD
Mission Impossible II,PG-13,Tom Cruise,,Action & Suspense,Wide,DVD
"Connecticut Yankee in King Authur's Court, A",NR,Bing Crosby,,Classic,Full,DVD
"Emperor Waltz, The",NR,Bing Crosby,,Classic,Full,DVD
Casablanca,PG,Humphrey Bogart Ingrid Berma,,Classic,Full,DVD
Dirty Hary - The Original,R,Clint Eastwood,,Drama,Wide,DVD
Dirty Harry - Sudden Impact,R,Clint Eastwood,,Drama,Wide,DVD
Dirty Harry - Magnum Force,R,Clint Eastwood,,Drama,Wide,DVD
Dirty Harry - The Enforcer,R,Clint Eastwood,,Drama,Wide,DVD
Dirty Harry - The Dead Pool,R,Clint Eastwood,,Drama,Wide,DVD
"Bridge On the River Kwai, The",PG,"William Holden, Alec Guiness",,Classic,Wide,DVD
Agent Cody Banks 2 - Destination London,PG,"Frankie Muniz, Anthony Anderson",,Action & Suspense,Wide,DVD
Mrs Peregrine's Home f,NR,"Kimberly Williams, Scott Cohen",,Sci-Fi & Fantasy,Wide,DVD
White Pass & Yukon Route,NR,,,Edu/Doc,Full,DVD
"Day The Earth Stood Still, The",G,"Michael Renni, Patrica Neal, Hugh Marlowe",Fox,Sci-Fi & Fantasy,Full,DVD
Shrek 2,PG,"Mike Myers, Eddie Murphy",Dreamworks,Animated,Both,DVD
High School Confidential,NR,"Russ Tamblyn, Diane Jergens, Jerry Lee Lewis",,Classic,Full,DVD
Inherit The Wind,NR,"Spencer Tracey, Fredric March, Gene Kelly",,Classic,Wide,DVD
Moby Dick,NR,"Gregory Peck, Richard Basehart",,Classic,Full,DVD
"Golden Years of Cartoons (6 disks), The",NR,"Woody Woodpecker, Popeye, Betty Boop, Mighty Mouse",,Animated,,DVD
Judgement at Nuremberg,NR,"Spencer Tracy, Maximillian Schell, Burt Lancaster",,Classic,Wide,DVD
Dances With Wolves,PG-13,Kevin Costner,,Drama,Wide,DVD
"Christmas Story, A",PG,"Milinda Dillon, Darren McGavin, Peter Billingsly",Warner,Comedy,Full,DVD
All Quiet On The Western Front,NR,"Lew Ayers, Louis Wolheim",Universal,Classic,Full,DVD
"Miracle Worker, The",NR,"Anne Bancroft, Patty Duke",,Classic,Wide,DVD
"Old Man and the Sea, The",NR,Spencer Tracy,,Classic,Full,DVD
Mutiny On The Bounty,NR,"Clark Gable, Charles Laughton",,Classic,Full,DVD
Forbidden Planet,G,"Walter Pidgeon, Ann Francis, Leslie Nielsen",,Sci-Fi & Fantasy,Full,DVD
